eventId,beeKeeperID,siteNo,hiveNo,eventY,eventM,eventD,eventType,inoutType,inoutQuantity,inoutUnit,inoutUnit_desc,clinicalSigns,eventDescription
CM260,89D81AA2C010D67185C9217788CBCCF6,5,3,2019,9,12,SAMPLE,,300,G133A,Piece,No clinical signs,Collect bees for disease analysis
CM144,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,1,2019,7,29,OUTPUT,Brood comb,0.025,G167A,Kilogram,No clinical signs,
CM1094,89D81AA2C010D67185C9217788CBCCF6,5,10,2020,5,2,INPUT,Food comb,1.04,G167A,Kilogram,No clinical signs,1 comb frame with honey added
CM162,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,5,2019,8,30,OUTPUT,Brood comb,0.037,G167A,Kilogram,No clinical signs,
CM477,89D81AA2C010D67185C9217788CBCCF6,6,3,2019,9,13,OTHER,,,,.,No clinical signs,Absconding - the same queen but less bees
CM932,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,1,2020,6,19,OUTPUT,Honey,22.2,G167A,Kilogram,No clinical signs,
CM1096,89D81AA2C010D67185C9217788CBCCF6,5,2,2020,5,4,INPUT,No input-output,0.8,G167A,Kilogram,No clinical signs,Honey + 0.3kg from feeder
CM949,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,1,2020,7,15,OUTPUT,Honey,10.3,G167A,Kilogram,No clinical signs,
CM262,89D81AA2C010D67185C9217788CBCCF6,5,5,2019,9,12,SAMPLE,,300,G133A,Piece,No clinical signs,Collect bees for disease analysis
CM951,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,6,2020,7,15,OUTPUT,Honey,15.1,G167A,Kilogram,No clinical signs,
CM1098,89D81AA2C010D67185C9217788CBCCF6,5,4,2020,5,4,INPUT,No input-output,0.8,G167A,Kilogram,No clinical signs,Honey + 0.3kg from feeder
CM953,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,2,2020,7,15,OUTPUT,Honey,20.5,G167A,Kilogram,No clinical signs,
CM1093,89D81AA2C010D67185C9217788CBCCF6,5,9,2020,5,2,OUTPUT,Food comb,1.04,G167A,Kilogram,No clinical signs,1 honey frame
CM955,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,12,2020,7,15,OUTPUT,Honey,20.6,G167A,Kilogram,No clinical signs,
CM1100,89D81AA2C010D67185C9217788CBCCF6,5,8,2020,5,4,INPUT,No input-output,0.8,G167A,Kilogram,No clinical signs,Honey + 0.3kg from feeder
CM981,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,2,2020,8,7,OUTPUT,Honey,10.7,G167A,Kilogram,No clinical signs,
CM413,89D81AA2C010D67185C9217788CBCCF6,6,3,2019,9,10,SAMPLE,,,,.,No clinical signs,Collect bees for disease analysis
CM234,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,2,2019,9,26,OUTPUT,Sucrose,2.5,G167A,Kilogram,No clinical signs,Removed ApiInvert food
CM1102,89D81AA2C010D67185C9217788CBCCF6,5,7,2020,5,4,INPUT,No input-output,0.8,G167A,Kilogram,No clinical signs,Honey + 0.3kg from feeder
CM1036,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,1,2020,9,21,OUTPUT,Queen excluder,0.4,G167A,Kilogram,No clinical signs,"""Removed bee emptier	"""
CM1064,89D81AA2C010D67185C9217788CBCCF6,5,7,2020,3,23,OUTPUT,Foundation comb,0.5,G167A,Kilogram,No clinical signs,1 comb frame
CM1004,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,2,2020,9,9,OUTPUT,Sucrose,2.4,G167A,Kilogram,No clinical signs,Removed feeder
CM1110,89D81AA2C010D67185C9217788CBCCF6,5,11,2020,5,4,INPUT,No input-output,0.8,G167A,Kilogram,No clinical signs,Honey + 0.3kg from feeder
CM971,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,6,2020,8,24,OUTPUT,Sucrose,2.4,G167A,Kilogram,No clinical signs,Removed super and bucket from food
CM417,89D81AA2C010D67185C9217788CBCCF6,6,5,2019,9,10,SAMPLE,,,,.,No clinical signs,Collect bees for disease analysis
CM358,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,3,2019,11,1,OUTPUT,Sucrose,4.5,G167A,Kilogram,No clinical signs,Removed super and leftover sucrose
CM1472,89D81AA2C010D67185C9217788CBCCF6,6,15,2020,10,29,INPUT,Oxalic acid,15,G156A,Millilitre,No clinical signs,Apply Varromed treatment
CM360,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,8,2019,11,1,OUTPUT,Sucrose,12.2,G167A,Kilogram,No clinical signs,Removed super and leftover sucrose
CM1521,89D81AA2C010D67185C9217788CBCCF6,6,16,2020,5,15,OUTPUT,No input-output,1.3,G167A,Kilogram,No clinical signs,Honey super 3 was moved into the top in a new box
CM362,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,2,2019,11,1,OUTPUT,Sucrose,4.5,G167A,Kilogram,No clinical signs,Removed super and leftover sucrose
CM1474,89D81AA2C010D67185C9217788CBCCF6,6,20,2020,10,29,INPUT,Oxalic acid,15,G156A,Millilitre,No clinical signs,Apply Varromed treatment
CM364,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,4,2019,11,1,OUTPUT,Sucrose,9,G167A,Kilogram,No clinical signs,Removed super and leftover sucrose
CM504,89D81AA2C010D67185C9217788CBCCF6,6,1,2019,11,8,SAMPLE,,,,.,No clinical signs,Collect bees for disease analysis
CM990,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,1,2020,8,7,OUTPUT,Food comb,0.5,G167A,Kilogram,No clinical signs,Removed two frames to make room for the feeder
CM195,89D81AA2C010D67185C9217788CBCCF6,5,3,2020,1,21,INPUT,Oxalic acid,1.8,G156A,Millilitre,No clinical signs,Oxalic acid treatment by evaporating
CM992,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,12,2020,8,7,OUTPUT,Food comb,0.5,G167A,Kilogram,No clinical signs,Removed two frames to make room for the feeder
CM1439,89D81AA2C010D67185C9217788CBCCF6,6,12,2020,9,18,OUTPUT,Amitraz,2,G133A,Piece,No clinical signs,Remove treatment (Apivar)- stripes
CM877,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,1,2020,4,17,QUEEN LOSS,,,,.,No clinical signs,
CM197,89D81AA2C010D67185C9217788CBCCF6,5,5,2020,1,21,INPUT,Oxalic acid,1.8,G156A,Millilitre,No clinical signs,Oxalic acid treatment by evaporating
CM897,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,1,2019,7,29,SAMPLE,,,,.,No clinical signs,
CM506,89D81AA2C010D67185C9217788CBCCF6,6,3,2019,11,8,SAMPLE,,,,.,No clinical signs,Collect bees for disease analysis
CM899,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,3,2019,7,29,SAMPLE,,,,.,No clinical signs,
CM199,89D81AA2C010D67185C9217788CBCCF6,5,8,2020,1,21,INPUT,Oxalic acid,1.8,G156A,Millilitre,No clinical signs,Oxalic acid treatment by evaporating
CM901,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,5,2019,7,29,SAMPLE,,,,.,No clinical signs,
CM1442,89D81AA2C010D67185C9217788CBCCF6,6,13,2020,9,26,OUTPUT,No input-output,2.3,G167A,Kilogram,No clinical signs,Remove box for activity recordings
CM903,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,2,2019,7,31,SAMPLE,,,,.,No clinical signs,
CM201,89D81AA2C010D67185C9217788CBCCF6,5,10,2020,1,21,INPUT,Oxalic acid,1.8,G156A,Millilitre,No clinical signs,Oxalic acid treatment by evaporating
CM905,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,4,2019,7,31,SAMPLE,,,,.,No clinical signs,
CM508,89D81AA2C010D67185C9217788CBCCF6,6,5,2019,11,8,SAMPLE,,,,.,No clinical signs,Collect bees for disease analysis
CM913,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,1,2020,6,8,SAMPLE,,,,.,No clinical signs,
CM203,89D81AA2C010D67185C9217788CBCCF6,5,9,2019,12,30,INPUT,Oxalic acid,1.8,G156A,Millilitre,No clinical signs,Oxalic acid treatment by evaporating
CM917,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,2,2020,6,8,SAMPLE,,,,.,No clinical signs,
CM1549,89D81AA2C010D67185C9217788CBCCF6,5,4,2020,2,4,OUTPUT,Foundation comb,1.16,G167A,Kilogram,No clinical signs,2 comb frames
CM921,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,12,2020,6,8,SAMPLE,,,,.,No clinical signs,
CM207,89D81AA2C010D67185C9217788CBCCF6,6,1,2019,12,29,INPUT,Oxalic acid,1.8,G156A,Millilitre,No clinical signs,Oxalic acid treatment by evaporating
CM944,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,6,2020,7,13,SAMPLE,,,,.,No clinical signs,
CM517,89D81AA2C010D67185C9217788CBCCF6,5,2,2019,11,12,SAMPLE,,,,.,No clinical signs,Collect bees for disease analysis
CM946,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,11,2020,7,13,SAMPLE,,,,.,No clinical signs,
CM209,89D81AA2C010D67185C9217788CBCCF6,6,3,2019,12,29,INPUT,Oxalic acid,1.8,G156A,Millilitre,No clinical signs,Oxalic acid treatment by evaporating
CM5,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,1,2019,4,3,SAMPLE,,,,.,No clinical signs,Nosema test
CM1544,89D81AA2C010D67185C9217788CBCCF6,5,4,2020,10,8,OUTPUT,No input-output,2.2,G167A,Kilogram,No clinical signs,Remove box for activity recordings
CM10,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,2,2019,4,3,SAMPLE,,,,.,No clinical signs,Nosema test
CM211,89D81AA2C010D67185C9217788CBCCF6,6,7,2019,12,29,INPUT,Oxalic acid,1.8,G156A,Millilitre,No clinical signs,Oxalic acid treatment by evaporating
CM14,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,4,2019,4,3,SAMPLE,,,,.,No clinical signs,Nosema test
CM519,89D81AA2C010D67185C9217788CBCCF6,5,4,2019,11,12,SAMPLE,,,,.,No clinical signs,Collect bees for disease analysis
CM19,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,4,2019,4,3,SAMPLE,,,,.,No clinical signs,Nosema test
CM299,89D81AA2C010D67185C9217788CBCCF6,6,4,2019,12,29,INPUT,Oxalic acid,1.8,G156A,Millilitre,No clinical signs,Oxalic acid treatment by evaporating
CM27,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,5,2019,4,3,SAMPLE,,,,.,No clinical signs,Nosema test
CM1511,89D81AA2C010D67185C9217788CBCCF6,6,17,2020,4,26,OUTPUT,Amitraz,2,G133A,Piece,No clinical signs,Remove treatment (Apivar)- stripes
CM884,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,1,2020,5,7,SAMPLE,,,,.,No clinical signs,Sample for pesticides
CM301,89D81AA2C010D67185C9217788CBCCF6,6,9,2019,12,29,INPUT,Oxalic acid,1.8,G156A,Millilitre,No clinical signs,Oxalic acid treatment by evaporating
CM886,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,6,2020,5,7,SAMPLE,,,,.,No clinical signs,Sample for pesticides
CM71,89D81AA2C010D67185C9217788CBCCF6,5,2,2019,4,20,SWARM,,,,.,No clinical signs,First swarm
CM888,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,12,2020,5,7,SAMPLE,,,,.,No clinical signs,Sample for pesticides
CM186,89D81AA2C010D67185C9217788CBCCF6,5,2,2020,1,21,INPUT,Sucrose,2.5,G167A,Kilogram,No clinical signs,Sugar paste
CM961,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,2,2020,8,24,SAMPLE,,,,.,No clinical signs,Sample for varroa
CM604,89D81AA2C010D67185C9217788CBCCF6,6,2,2019,10,10,OUTPUT,No input-output,6.1,G167A,Kilogram,No clinical signs,Remove extra box from treatment
CM963,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,11,2020,8,24,SAMPLE,,,,.,No clinical signs,Sample for varroa
CM188,89D81AA2C010D67185C9217788CBCCF6,5,9,2020,1,21,INPUT,Sucrose,2.5,G167A,Kilogram,No clinical signs,Sugar paste
CM39,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,1,2019,5,13,SAMPLE,,,,.,No clinical signs,sample for virus test
CM1603,EAC7A9C9E5F667F3D1071B4DFBA72CF8,340,11,2021,1,21,CLINICAL SIGNS,,,,.,Phoretic varroa,app 10 mites in bottom tray
CM41,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,3,2019,5,13,SAMPLE,,,,.,No clinical signs,sample for virus test
CM190,89D81AA2C010D67185C9217788CBCCF6,5,4,2020,1,21,INPUT,Sucrose,2.5,G167A,Kilogram,No clinical signs,Sugar paste
CM44,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,5,2019,5,13,SAMPLE,,,,.,No clinical signs,sample for virus test
CM1553,89D81AA2C010D67185C9217788CBCCF6,5,7,2020,2,4,OUTPUT,Foundation comb,1.19,G167A,Kilogram,No clinical signs,2 comb frames
CM46,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,2,2019,5,15,SAMPLE,,,,.,No clinical signs,sample for virus test
CM192,89D81AA2C010D67185C9217788CBCCF6,5,7,2020,1,21,INPUT,Sucrose,1,G167A,Kilogram,No clinical signs,Sugar paste
CM48,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,4,2019,5,15,SAMPLE,,,,.,No clinical signs,sample for virus test
CM3,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,1,2019,4,3,CLINICAL SIGNS,,,,.,Dead honey bees within cells with the heads directed to the bottom of the cell (starvation),
CM145,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,2,2019,7,29,SAMPLE,,,,.,No clinical signs,sample for virus test
CM205,89D81AA2C010D67185C9217788CBCCF6,6,3,2020,1,21,INPUT,Sucrose,2.5,G167A,Kilogram,No clinical signs,Sugar paste
CM163,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,5,2019,8,30,SAMPLE,,,,.,No clinical signs,sample for virus test
CM618,89D81AA2C010D67185C9217788CBCCF6,6,4,2019,10,10,OUTPUT,No input-output,6.5,G167A,Kilogram,No clinical signs,Remove extra box from treatment
CM169,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,2,2019,9,25,SAMPLE,,,,.,No clinical signs,sample for virus test
CM278,89D81AA2C010D67185C9217788CBCCF6,5,3,2019,9,27,INPUT,Sucrose,1,G167A,Kilogram,No clinical signs,Sugar paste
CM171,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,4,2019,9,25,SAMPLE,,,,.,No clinical signs,sample for virus test
CM7,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,3,2019,4,3,CLINICAL SIGNS,,,,.,Traces of diarrhea,
CM173,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,4,2019,9,26,SAMPLE,,,,.,No clinical signs,sample for virus test
CM327,89D81AA2C010D67185C9217788CBCCF6,5,9,2019,9,13,INPUT,Sucrose,1,G167A,Kilogram,No clinical signs,Sugar paste
CM222,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,1,2019,9,26,SAMPLE,,,,.,No clinical signs,sample for virus test
CM1441,89D81AA2C010D67185C9217788CBCCF6,6,13,2020,9,18,OUTPUT,Amitraz,2,G133A,Piece,No clinical signs,Remove treatment (Apivar)- stripes
CM224,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,8,2019,9,26,SAMPLE,,,,.,No clinical signs,sample for virus test
CM336,89D81AA2C010D67185C9217788CBCCF6,5,2,2019,10,11,INPUT,Sucrose,1,G167A,Kilogram,No clinical signs,Sugar paste
CM935,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,6,2020,7,3,SAMPLE,,,,.,No clinical signs,sample for virus test
CM21,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,5,2019,4,3,CLINICAL SIGNS,,,,.,Dead bees in hive bottom,
CM937,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,12,2020,7,3,SAMPLE,,,,.,No clinical signs,sample for virus test
CM338,89D81AA2C010D67185C9217788CBCCF6,5,6,2019,10,11,INPUT,Sucrose,1,G167A,Kilogram,No clinical signs,Sugar paste
CM1234,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,11,2020,9,30,SAMPLE,,,,.,No clinical signs,"""Sample for virus	"""
CM627,89D81AA2C010D67185C9217788CBCCF6,5,1,2019,10,11,OUTPUT,No input-output,3.9,G167A,Kilogram,No clinical signs,Remove extra box from treatment
CM1236,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,1,2020,9,30,SAMPLE,,,,.,No clinical signs,"""Sample for virus	"""
CM487,89D81AA2C010D67185C9217788CBCCF6,6,1,2019,10,10,INPUT,Sucrose,1,G167A,Kilogram,No clinical signs,Sugar paste
CM957,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,6,2020,7,29,SAMPLE,,,,.,No clinical signs,Sample of pollen
CM25,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,5,2019,4,3,CLINICAL SIGNS,,,,.,Dead bees in hive bottom,
CM959,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,12,2020,7,29,SAMPLE,,,,.,No clinical signs,Sample of pollen
CM489,89D81AA2C010D67185C9217788CBCCF6,6,3,2019,10,10,INPUT,Sucrose,1,G167A,Kilogram,No clinical signs,Sugar paste
CM999,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,6,2020,9,3,SAMPLE,,,,.,No clinical signs,Sample of pollen
CM1547,89D81AA2C010D67185C9217788CBCCF6,5,5,2020,2,4,OUTPUT,Foundation comb,1.33,G167A,Kilogram,No clinical signs,3 comb frames
CM1001,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,12,2020,9,3,SAMPLE,,,,.,No clinical signs,Sample of pollen
CM491,89D81AA2C010D67185C9217788CBCCF6,6,5,2019,10,10,INPUT,Sucrose,1,G167A,Kilogram,No clinical signs,Sugar paste
CM929,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,6,2020,6,22,SAMPLE,,,,.,No clinical signs,Samples for pesticides + pollen determination
CM29,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,3,2019,4,25,CLINICAL SIGNS,,,,.,Traces of diarrhea,
CM6,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,1,2019,4,3,SAMPLE,,,,.,No clinical signs,Varroa inspection
CM493,89D81AA2C010D67185C9217788CBCCF6,6,8,2019,10,10,INPUT,Sucrose,1,G167A,Kilogram,No clinical signs,Sugar paste
CM11,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,2,2019,4,3,SAMPLE,,,,.,No clinical signs,Varroa inspection
CM632,89D81AA2C010D67185C9217788CBCCF6,5,3,2019,10,11,OUTPUT,No input-output,4.4,G167A,Kilogram,No clinical signs,Remove extra box from treatment
CM15,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,4,2019,4,3,SAMPLE,,,,.,No clinical signs,Varroa inspection
CM495,89D81AA2C010D67185C9217788CBCCF6,5,1,2019,10,11,INPUT,Sucrose,1,G167A,Kilogram,No clinical signs,Sugar paste
CM20,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,4,2019,4,3,SAMPLE,,,,.,No clinical signs,Varroa inspection
CM31,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,1,2019,4,26,CLINICAL SIGNS,,,,.,Dead bees in hive bottom,
CM28,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,5,2019,4,3,SAMPLE,,,,.,No clinical signs,Varroa inspection
CM497,89D81AA2C010D67185C9217788CBCCF6,5,5,2019,10,11,INPUT,Sucrose,1,G167A,Kilogram,No clinical signs,Sugar paste
CM722,5BC8557A401F84B44F1BF03B71F3CF7C,1,4,2019,9,9,CLINICAL SIGNS,,,,.,Cannibalism on larvae or on pupae,2 headless larvae found
CM1773,5BC8557A401F84B44F1BF03B71F3CF7C,1,5,2020,8,31,CLINICAL SIGNS,,,,.,Phoretic varroa,app 10 mites in bottom tray
CM500,89D81AA2C010D67185C9217788CBCCF6,5,8,2019,10,11,INPUT,Sucrose,1,G167A,Kilogram,No clinical signs,Sugar paste
CM1765,5BC8557A401F84B44F1BF03B71F3CF7C,1,3,2020,8,31,CLINICAL SIGNS,,,,.,Phoretic varroa,app 15 mites in bottom tray
CM33,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,2,2019,4,26,CLINICAL SIGNS,,,,.,Dead bees in hive bottom,
CM1781,5BC8557A401F84B44F1BF03B71F3CF7C,1,6,2020,8,13,CLINICAL SIGNS,,,,.,Phoretic varroa,app 50-60 mites in bottom tray - apiguard has worked
CM509,89D81AA2C010D67185C9217788CBCCF6,6,1,2019,11,8,INPUT,Sucrose,2.5,G167A,Kilogram,No clinical signs,Sugar paste
CM1733,5BC8557A401F84B44F1BF03B71F3CF7C,1,2,2020,3,23,CLINICAL SIGNS,,,,.,Dead colony,"""colony dead during winter-spring	"""
CM636,89D81AA2C010D67185C9217788CBCCF6,5,5,2019,10,11,OUTPUT,No input-output,4.5,G167A,Kilogram,No clinical signs,Remove extra box from treatment
CM1223,5BC8557A401F84B44F1BF03B71F3CF7C,2,3,2020,7,9,CLINICAL SIGNS,,,,.,Dead honey bees within cells with the heads directed to the bottom of the cell (starvation),"""colony dead	"""
CM511,89D81AA2C010D67185C9217788CBCCF6,6,3,2019,11,8,INPUT,Sucrose,2.5,G167A,Kilogram,No clinical signs,Sugar paste
CM1370,5BC8557A401F84B44F1BF03B71F3CF7C,2,8,2020,7,30,CLINICAL SIGNS,,,,.,Cannibalism on larvae or on pupae,"""every sign of starvation	"""
CM35,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,3,2019,4,26,CLINICAL SIGNS,,,,.,Traces of diarrhea,
CM723,5BC8557A401F84B44F1BF03B71F3CF7C,1,4,2019,9,9,CLINICAL SIGNS,,,,.,Black shiny honey bees,few
CM513,89D81AA2C010D67185C9217788CBCCF6,6,5,2019,11,8,INPUT,Sucrose,2.5,G167A,Kilogram,No clinical signs,Sugar paste
CM431,5BC8557A401F84B44F1BF03B71F3CF7C,1,8,2019,9,9,CLINICAL SIGNS,,,,.,Black shiny honey bees,few
CM1117,89D81AA2C010D67185C9217788CBCCF6,5,4,2020,8,12,OUTPUT,Honey,12.1,G167A,Kilogram,No clinical signs,Honey suppers removed for honey collection
CM849,5BC8557A401F84B44F1BF03B71F3CF7C,2,5,2019,4,24,CLINICAL SIGNS,,,,.,Dead bees in hive bottom,few bees
CM515,89D81AA2C010D67185C9217788CBCCF6,6,8,2019,11,8,INPUT,Sucrose,2.5,G167A,Kilogram,No clinical signs,Sugar paste
CM1660,5BC8557A401F84B44F1BF03B71F3CF7C,1,7,2020,6,18,CLINICAL SIGNS,,,,.,Galleries inside the frames,galleries inside frames
CM37,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,5,2019,4,26,CLINICAL SIGNS,,,,.,Dead bees in hive bottom,
CM650,5BC8557A401F84B44F1BF03B71F3CF7C,1,1,2019,5,15,CLINICAL SIGNS,,,,.,Dead honey bees within cells with the heads sticking out the cells,in frame 5
CM522,89D81AA2C010D67185C9217788CBCCF6,5,1,2019,11,12,INPUT,Sucrose,2.5,G167A,Kilogram,No clinical signs,Sugar paste
CM74,5BC8557A401F84B44F1BF03B71F3CF7C,1,1,2019,4,4,CLINICAL SIGNS,,,,.,Traces of diarrhea,
CM1541,89D81AA2C010D67185C9217788CBCCF6,5,10,2020,10,8,OUTPUT,No input-output,2,G167A,Kilogram,No clinical signs,Remove pollen trap
CM282,5BC8557A401F84B44F1BF03B71F3CF7C,2,6,2019,5,14,CLINICAL SIGNS,,,,.,Dead honey bees within cells with the heads directed to the bottom of the cell (starvation),
CM524,89D81AA2C010D67185C9217788CBCCF6,5,9,2019,11,12,INPUT,Sucrose,2.5,G167A,Kilogram,No clinical signs,Sugar paste
CM396,5BC8557A401F84B44F1BF03B71F3CF7C,2,6,2019,7,9,CLINICAL SIGNS,,,,.,Dead bees in hive bottom,
CM42,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,3,2019,5,13,CLINICAL SIGNS,,,,.,Spotty brood pattern,
CM664,5BC8557A401F84B44F1BF03B71F3CF7C,1,2,2019,6,3,CLINICAL SIGNS,,,,.,Traces of diarrhea,
CM606,89D81AA2C010D67185C9217788CBCCF6,5,2,2019,11,12,INPUT,Sucrose,2.5,G167A,Kilogram,No clinical signs,Sugar paste
CM668,5BC8557A401F84B44F1BF03B71F3CF7C,1,2,2019,6,3,CLINICAL SIGNS,,,,.,Dead honey bees within cells with the heads directed to the bottom of the cell (starvation),
CM1483,89D81AA2C010D67185C9217788CBCCF6,6,16,2020,9,18,OUTPUT,Amitraz,2,G133A,Piece,No clinical signs,Remove treatment (Apivar)- stripes
CM673,5BC8557A401F84B44F1BF03B71F3CF7C,1,2,2019,8,20,CLINICAL SIGNS,,,,.,Traces of diarrhea,
CM608,89D81AA2C010D67185C9217788CBCCF6,5,4,2019,11,12,INPUT,Sucrose,2.5,G167A,Kilogram,No clinical signs,Sugar paste
CM704,5BC8557A401F84B44F1BF03B71F3CF7C,1,4,2019,4,25,CLINICAL SIGNS,,,,.,Dead honey bees in front of the hive,
CM50,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,3,2019,5,15,CLINICAL SIGNS,,,,.,Slumped larvae,
CM807,5BC8557A401F84B44F1BF03B71F3CF7C,2,1,2019,7,8,CLINICAL SIGNS,,,,.,Spotty brood pattern,
CM610,89D81AA2C010D67185C9217788CBCCF6,5,7,2019,11,12,INPUT,Sucrose,2.5,G167A,Kilogram,No clinical signs,Sugar paste
CM818,5BC8557A401F84B44F1BF03B71F3CF7C,2,2,2019,5,14,CLINICAL SIGNS,,,,.,Dead honey bees within cells with the heads directed to the bottom of the cell (starvation),
CM1468,89D81AA2C010D67185C9217788CBCCF6,6,12,2020,9,26,OUTPUT,No input-output,2.2,G167A,Kilogram,No clinical signs,Remove box for activity recordings
CM1158,5BC8557A401F84B44F1BF03B71F3CF7C,2,1,2020,4,28,CLINICAL SIGNS,,,,.,Phoretic varroa,no varrora in bottom tray
CM1084,89D81AA2C010D67185C9217788CBCCF6,5,2,2020,4,11,INPUT,Sucrose,1,G167A,Kilogram,No clinical signs,Sugar paste
CM1160,5BC8557A401F84B44F1BF03B71F3CF7C,2,1,2020,6,3,CLINICAL SIGNS,,,,.,Phoretic varroa,no varrora in bottom tray
CM53,EAC7A9C9E5F667F3D1071B4DFBA72CF8,3,2,2019,5,29,CLINICAL SIGNS,,,,.,Spotty brood pattern,
CM1162,5BC8557A401F84B44F1BF03B71F3CF7C,2,1,2020,7,9,CLINICAL SIGNS,,,,.,Phoretic varroa,no varrora in bottom tray
CM1086,89D81AA2C010D67185C9217788CBCCF6,5,4,2020,4,11,INPUT,Sucrose,1,G167A,Kilogram,No clinical signs,Sugar paste
CM1164,5BC8557A401F84B44F1BF03B71F3CF7C,2,1,2020,8,18,CLINICAL SIGNS,,,,.,Phoretic varroa,no varrora in bottom tray
CM1129,89D81AA2C010D67185C9217788CBCCF6,5,3,2020,8,12,OUTPUT,Honey,16.8,G167A,Kilogram,No clinical signs,Honey suppers removed for honey collection
CM1173,5BC8557A401F84B44F1BF03B71F3CF7C,2,2,2020,5,14,CLINICAL SIGNS,,,,.,Phoretic varroa,no varrora in bottom tray
CM1088,89D81AA2C010D67185C9217788CBCCF6,5,5,2020,4,11,INPUT,Sucrose,2.5,G167A,Kilogram,No clinical signs,Sugar paste
CM1179,5BC8557A401F84B44F1BF03B71F3CF7C,2,2,2020,6,23,CLINICAL SIGNS,,,,.,Phoretic varroa,no varrora in bottom tray
